Endothelial	InnateLymphoid	Leydig	Macrophage	Myoid	Sertoli	Unknown
1700022E09Rik	0	0	0	0	0	0.0148771101599711	0.00211276911464919
1700022F17Rik	0.0209956337918606	0	0	0.00706084484510376	0	0.0288503874435891	0.0150410355211442
1700022I11Rik	0.0234748155392689	0	0.0662228830433322	0.0638663814531975	0.129589006926994	0.055159961355302	0.0345693344801828
1700022N22Rik	0	0.0954558568385981	0.0225408386736059	0.00674506965153422	0	0.0105274483918809	0.0148902861069152
1700023C21Rik	0	0	0	0.0165847331247463	0	0.0439939032728643	0.0147462909472709
1700023E05Rik	0.0800141380414635	0.0765507963273982	0.00898862462510537	0.288851932266265	0.109065371687096	0.30089252700134	0.0577378819418011
1700023F02Rik	0.018672726208336	0.0317729103148559	0.020614781384896	0.0552277144221289	0.0684406620565912	0.0632728368945274	0.0264378482960961
1700023F06Rik	0.060152118867646	0	0.0471835131387573	0.0437966261983127	0	0.190959244142004	0.0777922808726057
1700023G09Rik	0.0399971730140256	0	0.00352606690245008	0.0171133906542491	0	0.0194766688157542	0.016924110177566
1700023H06Rik	0	0	0.0303811578675092	0.11115571853049	0.240961575076113	0.0448056408822388	0.0260065959472725
1700024B18Rik	0	0	0	0	0	0.00555035285133041	0.00338948349086612
1700024G13Rik	0	0.105950470355691	0.0030276061882603	0.0504628829840118	0	0.238251616504772	0.102982332446189
1700024J04Rik	0	0	0	0.0311468217985806	0	0.0414074899625099	0.0156021423663789
1700024P04Rik	0.263864431618812	0.382310512749953	0.0795489546353406	0.250763311255685	0	0.900018669910505	0.22444814326464
1700024P16Rik	0.065522039356416	0	0.378850614290169	0	0	1.00259358662545	0.0122507212736211
1700025B11Rik	0.0402486099440826	0	0	0.052233534016752	0	0.0807411865482867	0.0501254391220848
1700025C18Rik	0	0	0	0.0365817436062558	0	0.0351561155646561	0.00977884527461879
1700025D23Rik	0	0	0.0217184784228329	0.0302942399073228	0	0.0257030086222918	0.0028499794062244
1700025F22Rik	0.18496206559683	0.137759241180132	0.0361837237407421	0.232724208630051	0.104268627027535	0.230269771393744	0.0923562647658228
1700025F24Rik	0.0597078210535385	0	0	0.0550810643776093	0	0.0312061926970101	0.00576873552508908
1700025G04Rik	0.347660903086192	0.0778870182159921	0.167068133393886	0.243143167300062	0.197720589850782	1.05635396300152	0.68938388756729
1700025H01Rik	0.0101835740582154	0	0.00973479113548511	0.0335230781524626	0	0.103954103456619	0.0157927435633445
1700025K24Rik	0	0	0.0023222492027802	0.0187016067142655	0	0.0154843597798682	0.0177199544168704
